time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2015-06-17T03:50:45.000Z","LatLng(39.48284, -122.06557)","0.78606554","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-06-17T03:51:09.000Z","LatLng(39.48284, -122.06557)","0.7913942070000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-06-26T03:45:00.000Z","LatLng(39.48284, -122.06557)","0.738540357","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-07-03T03:50:52.000Z","LatLng(39.48284, -122.06557)","0.7965483959999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-07-03T03:51:16.000Z","LatLng(39.48284, -122.06557)","0.797658875","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-07-12T03:45:11.000Z","LatLng(39.48284, -122.06557)","0.8256405509999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-07-19T03:51:01.000Z","LatLng(39.48284, -122.06557)","0.835764086","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-07-19T03:51:25.000Z","LatLng(39.48284, -122.06557)","0.8361801790000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-07-28T03:45:17.000Z","LatLng(39.48284, -122.06557)","0.785039013","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-08-04T03:51:05.000Z","LatLng(39.48284, -122.06557)","0.772530591","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
